koi_disposition,koi_period,koi_depth,koi_duration,koi_ror,koi_model_snr
CONFIRMED,76.0498163,445.9,7.158,0.018858,17.4
CONFIRMED,3.341799486,178.2,2.9254,0.01238,48.8
FALSE POSITIVE,3.3226948,78.7,3.568,0.008278,8.6
FALSE POSITIVE,36.97708808,1269.9,4.737,0.285292,59.2
FALSE POSITIVE,1.851409163,232.5,10.232,0.127275,54.4
FALSE POSITIVE,1.303859704,36.7,2.8239,0.005894,34.7
FALSE POSITIVE,145.5624926,2931.6,5.4126,0.335735,58.1
CONFIRMED,3.749105745,182.6,1.9826,0.015686,38.0
CONFIRMED,11.08956602,148.1,6.2877,0.011202,38.9
FALSE POSITIVE,7.24476126,58.0,2.3145,0.006839,27.2
CONFIRMED,8.70798309,1419.6,2.4904,0.033251,28.1
CONFIRMED,4.17634276,531.5,2.335,0.020401,14.9
CONFIRMED,27.40229859,747.5,6.8491,0.025079,79.3
CONFIRMED,3.179267286,200.9,1.0246,0.012917,41.0
CONFIRMED,10.38122447,801.5,2.715,0.025572,41.9
CONFIRMED,24.5709023,764.2,3.587,0.033128,26.3
FALSE POSITIVE,81.221876,9883.0,4.1135,0.173832,63.0
FALSE POSITIVE,0.817026268,1145.5,2.0799,0.030636,121.1
CONFIRMED,3.024092505,7765.0,2.8021,0.081878,1225.3
FALSE POSITIVE,5.670155713,536.7,0.9361,0.292493,37.3
CONFIRMED,1.022678654,129.2,1.3712,0.010229,21.6
CONFIRMED,12.10968709,284.7,6.3461,0.0187,33.4
CONFIRMED,4.75796103,124.5,4.66,0.010702,20.9
CONFIRMED,20.4972755,242.9,8.536,0.018577,22.8
FALSE POSITIVE,13.55480534,48.3,2.288,0.006462,16.5
FALSE POSITIVE,29.74454668,66894.0,23.2842,0.233128,765.0
FALSE POSITIVE,14.15402428,61625.0,4.47001,0.470267,930.3
FALSE POSITIVE,0.844786082,2468.5,3.5289,0.353039,245.6
FALSE POSITIVE,0.848483947,1907.4,1.4451,0.314173,185.0
FALSE POSITIVE,11.99097576,2124.3,5.7401,0.320114,102.8
CONFIRMED,53.5292702,1086.1,5.668,0.029542,34.5
FALSE POSITIVE,0.393726813,564.6,2.95,0.214695,64.8
CONFIRMED,2.757584622,563.1,0.9267,0.021901,19.6
CONFIRMED,0.928310036,376.2,1.1899,0.017601,22.6
CONFIRMED,13.48457668,653.5,5.0197,0.023452,80.8
CONFIRMED,31.8841473,910.0,6.122,0.03477,25.3
FALSE POSITIVE,67.69213907,25457.0,51.349,0.150573,1328.2
CONFIRMED,12.06222962,300.2,2.0584,0.015945,32.4
CONFIRMED,9.93146307,398.6,5.678,0.018094,26.2
CONFIRMED,21.85362905,355.6,3.439,0.018296,23.0
CONFIRMED,8.19345065,115.4,5.234,0.010952,15.7
FALSE POSITIVE,19.97867,944.3,10.168,0.033104,86.2
CONFIRMED,41.8059544,434.4,6.057,0.019015,28.3
FALSE POSITIVE,15.45158184,85.3,2.406,0.008928,21.0
FALSE POSITIVE,89.698168533,273110.0,5.5418,0.590496,3420.3
FALSE POSITIVE,1.187352427,20703.0,4.999,0.414215,717.4
FALSE POSITIVE,3.012476582,1138.5,3.1424,0.294213,253.4
CONFIRMED,4.77800306,473.0,2.7361,0.019376,115.4
FALSE POSITIVE,7.814839231,2010.3,3.0122,0.052382,100.0
FALSE POSITIVE,29.7452499,778.9,22.695,0.03286,55.9
CONFIRMED,5.32667299,611.4,3.4045,0.022482,34.1
